State,City,Accident_Date,Time,Weather,Road_Type,Severity,Vehicles_Involved,Casualties,Latitude,Longitude,Hour,Time_Period
Telangana,Hyderabad,15-01-2024,01-01-1900 08:00,heavy rain,city road,1,2,0,23.7119,83.5852,8,Morning
Tamil Nadu,Chennai,16-09-2023,01-01-1900 19:00,heavy rain,highway,0,1,0,12.9293,86.5279,19,Evening
UP,Kanpur,23-05-2023,01-01-1900 04:00,rain,highway,1,3,0,12.3294,87.669,4,Night
Bihar,Bhagalpur,05-03-2023,01-01-1900 12:00,clear,highway,3,1,1,14.9092,79.0174,12,Afternoon
Telangana,Hyderabad,19-03-2024,01-01-1900 03:00,clear,rural road,3,2,0,18.9111,80.2035,3,Night
Telangana,Nizamabad,22-11-2023,01-01-1900 05:00,foggy,rural road,4,0,1,16.6743,81.03,5,Morning
Andhra Pradesh,Guntur,25-02-2024,01-01-1900 01:00,foggy,national highway,1,3,0,15.1948,82.6566,1,Night
UP,Varanasi,23-08-2023,01-01-1900 04:00,foggy,city road,3,1,1,21.7207,78.8758,4,Night
Karnataka,Mangalore,10-09-2023,01-01-1900 02:00,rain,city road,2,1,0,22.9477,81.8417,2,Night
Maharashtra,Nagpur,16-03-2024,01-01-1900 00:00,clear,highway,3,1,0,12.5502,87.0025,0,Night
Maharashtra,Nagpur,26-01-2024,01-01-1900 05:00,clear,highway,2,2,0,16.9874,82.7207,5,Morning
Andhra Pradesh,Visakhapatnam,08-09-2023,01-01-1900 00:00,nan,national highway,2,0,1,27.5134,85.5265,0,Night
Telangana,Nizamabad,28-01-2024,01-01-1900 04:00,storm,expressway,2,2,1,13.4159,79.1558,4,Night
Tamil Nadu,Madurai,09-06-2023,01-01-1900 12:00,storm,expressway,4,1,0,18.2188,79.9848,12,Afternoon
Tamil Nadu,Chennai,06-02-2023,01-01-1900 22:00,heavy rain,highway,1,1,2,16.495,82.9697,22,Night
Karnataka,Mangalore,23-04-2024,01-01-1900 18:00,heavy rain,rural road,4,2,0,13.1928,87.8558,18,Evening
Andhra Pradesh,Vijayawada,01-02-2023,01-01-1900 12:00,rain,city road,2,1,1,12.0884,85.9701,12,Afternoon
Telangana,Warangal,18-02-2024,01-01-1900 17:00,clear,highway,1,3,1,24.3403,77.8145,17,Evening
Tamil Nadu,Coimbatore,07-04-2024,01-01-1900 01:00,foggy,highway,4,0,0,25.8097,83.8563,1,Night
Bihar,Patna,08-04-2023,01-01-1900 09:00,clear,nan,1,1,0,16.9757,80.577,9,Morning
Karnataka,Bengaluru,06-05-2024,01-01-1900 16:00,foggy,highway,1,2,2,26.1954,82.1944,16,Afternoon
